8011160,8000001,21000000
8011160,8000010,16860000
8011160,8000013,17880000
8011160,8000023,10500000
8011160,8000025,10920000
8011160,8000036,10020000
8011160,8000038,21360000
8011160,8000041,13020000
8011160,8000044,18540000
8011160,8000049,5280000
8011160,8000050,10980000
8011160,8000055,19740000
8011160,8010184,10260000
8011160,8010073,5460000
8011160,8000068,15900000
8011160,8000080,12180000
8011160,8010085,10980000
8011160,8000086,14520000
8011160,8000085,15360000
8011160,8010101,6060000
8011160,8000098,13740000
8011160,8000105,14040000
8011160,8010113,3240000
8011160,8000115,11640000
8011160,8000114,11160000
8011160,8000118,14880000
8011160,8000124,15720000
8011160,8000128,11760000
8011160,8000142,12900000
8011160,8010159,4080000
8011160,8000149,10860000
8011160,8000150,14280000
8011160,8000152,6120000
8011160,8000162,10980000
8011160,8000169,10260000
8011160,8000183,13860000
8011160,8000189,21900000
8011160,8000191,19860000
8011160,8000193,11040000
8011160,8000199,12300000
8011160,8000206,20940000
8011160,8000207,15780000
8011160,8000217,18480000
8011160,8010205,4380000
8011160,8000237,10020000
8011160,8000236,18240000
8011160,8000238,10260000
8011160,8010224,6240000
8011160,8000240,17040000
8011160,8000244,17400000
8011160,8000253,17760000
8011160,8000261,14220000
8011160,8000263,12720000
8011160,8000271,11220000
8011160,8000274,16620000
8011160,8000275,20520000
8011160,8000284,10320000
8011160,8000286,15240000
8011160,8000290,22140000
8011160,8000291,13020000
8011160,8000294,11100000
8011160,8000297,13260000
8011160,8000299,21480000
8011160,8000302,21960000
8011160,8012666,1560000
8011160,8000309,16500000
8011160,8000316,12780000
8011160,8000320,19380000
8011160,8010304,7140000
8011160,8000323,24540000
8011160,8000073,29760000
8011160,8000087,15420000
8011160,8000096,19980000
8011160,8000134,27300000
8011160,8000141,24480000
8011160,8000168,10320000
8011160,8000170,21120000
8011160,8010366,7200000
8011160,8000250,17340000
8011160,8006552,3960000
8011160,8000257,18540000
8011160,8000266,13920000
8011160,8000260,13440000
8000107,8000001,15120000
8000107,8000010,10560000
8000107,8000013,12420000
8000107,8000023,27360000
8000107,8000025,16620000
8000107,8000036,20460000
8000107,8000038,10620000
8000107,8000041,14520000
8000107,8000044,11700000
8000107,8000049,21840000
8000107,8000050,22800000
8000107,8000055,4860000
8000107,8010184,23820000
8000107,8010073,27060000
8000107,8000068,10680000
8000107,8000080,15300000
8000107,8010085,24180000
8000107,8000086,13080000
8000107,8000085,12240000
8000107,8010101,16680000
8000107,8000098,13920000
8000107,8000105,11160000
8000107,8010113,28080000
8000107,8000115,11400000
8000107,8000114,17220000
8000107,8000118,15000000
8000107,8000124,11220000
8000107,8000128,16980000
8000107,8000142,14640000
8000107,8010159,18900000
8000107,8000149,17520000
8000107,8000150,13020000
8000107,8000152,19320000
8000107,8000162,21780000
8000107,8000169,20460000
8000107,8000183,17460000
8000107,8000189,10320000
8000107,8000191,3660000
8000107,8000193,16680000
8000107,8000199,30300000
8000107,8000206,11040000
8000107,8000207,11340000
8000107,8000217,19020000
8000107,8010205,19320000
8000107,8000237,28500000
8000107,8000236,10140000
8000107,8000238,22620000
8000107,8010224,22080000
8000107,8000240,10200000
8000107,8000244,5160000
8000107,8000253,14400000
8000107,8000261,14460000
8000107,8000263,17940000
8000107,8000271,30600000
8000107,8000274,13500000
8000107,8000275,10260000
8000107,8000284,15600000
8000107,8000286,13920000
8000107,8000290,1860000
8000107,8000291,25080000
8000107,8000294,19560000
8000107,8000297,21120000
8000107,8000299,5400000
8000107,8000302,10620000
8000107,8012666,26280000
8000107,8000309,20640000
8000107,8000316,20220000
8000107,8000320,18000000
8000107,8010304,34320000
8000107,8000323,11820000
8000107,8000073,7800000
8000107,8000087,12660000
8000107,8000096,13620000
8000107,8000134,16320000
8000107,8000141,10680000
8000107,8000168,22860000
8000107,8000170,10980000
8000107,8010366,18120000
8000107,8000250,10080000
8000107,8006552,22020000
